title,difficulty,detail_difficulty,score,rank,const,rate
Tempestissimo,EXP,13+,1007965,SSS,13.9,15.94
Aether Crest: Celestial,EXP,14,1003832,SS,14.4,15.78
Oracle,MAS,14+,985707,S,14.8,15.22
Oracle,EXP,13,1006812,SS+,13.1,14.96
Theatore Creatore,MAS,14,986032,S,14.4,14.84
キミとボクへの葬送歌,EXP,13+,998170,S+,13.9,14.82
Tempestissimo,MAS,15,970059,AAA,15.1,14.77
Chronomia,EXP,12+,1007819,SSS,12.7,14.73
旅星に渇く,MAS,14+,970563,AAA,14.9,14.60
躯樹の墓守,EXP,13+,996562,S+,13.7,14.56
イガク,MAS,14,988942,S,14.0,14.55
Fighting My Way,MAS,13+,989683,S,13.9,14.48
HeinousЯeaper,EXP,14,986270,S,14.0,14.45
淵底のグレイ・ユークロニア,EXP,13+,998477,S+,13.5,14.43
≠彡"/了→,EXP,13,999622,S+,13.4,14.38
殺屋中毒,MAS,13+,992711,S+,13.6,14.30
Black MInD,MAS,14+,966875,AAA,14.8,14.25
ラビットホール,MAS,13+,988463,S,13.7,14.23
あいのうた,MAS,13+,985197,S,13.6,14.00
あいたい星人,MAS,13,991666,S+,13.2,13.86
